itemid,movies,actors
32,Crumb (1994),"['Robert Crumb', 'Aline Kominsky-Crumb', 'Charles Crumb']"
33,Desperado (1995),"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']"
34,The Doom Generation (1995),"['James Duval', 'Rose McGowan', 'Johnathon Schaech']"
35,Free Willy 2: The Adventure Home (1995),"['Jason James Richter', 'Francis Capra', 'Mary Kate Schellhardt']"
36,Mad Love (1995),['Unknow']
37,Nadja (1994),"['Elina Löwensohn', 'Nic Ratner', 'Karl Geary']"
38,The Net (1995),"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']"
39,Strange Days (1995),"['Ralph Fiennes', 'Angela Bassett', 'Juliette Lewis']"
40,Thanks To Wong Foo (1995),"['Wesley Snipes', 'Patrick Swayze', 'John Leguizamo']"
41,Billy Madison (1995),"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson-Sampras']"
42,Clerks (1994),"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti']"
43,Disclosure (1994),"['Michael Douglas', 'Demi Moore', 'Donald Sutherland']"
44,Dolores Claiborne (1994),"['Kathy Bates', 'Jennifer Jason Leigh', 'Judy Parfitt']"
45,Eat Drink Man Woman (1994),"['Sihung Lung', 'Wang Yu-wen', 'Chien-Lien Wu']"
46,Exotica (1994),"['David Hemblen', 'Calvin Green', 'Don McKellar']"
47,Ed Wood (1994),"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']"
48,Hoop Dreams (1994),"['William Gates', 'Arthur Agee', 'Emma Gates']"
49,I.Q. (1994),"['Tim Robbins', 'Meg Ryan', 'Walter Matthau']"
50,Star Wars (1977),"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
51,Legends of the Fall (1994),"['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']"
52,The Madness of King George (1994),"['Rupert Graves', 'Helen Mirren', 'Amanda Donohoe']"
53,Natural Born Killers (1994),"['Woody Harrelson', 'Juliette Lewis', 'Tom Sizemore']"
54,Outbreak (1995),"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']"
55,The Professional (1994),"['Jean Reno', 'Gary Oldman', 'Natalie Portman']"
56,Pulp Fiction (1994),"['Tim Roth', 'Amanda Plummer', 'Laura Lovelace']"
57,Priest (1994),"['Linus Roache', 'Tom Wilkinson', 'Robert Carlyle']"
58,Quiz Show (1994),"['John Turturro', 'Rob Morrow', 'Ralph Fiennes']"
59,Three Colors: Red (1994),"['Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder']"
60,Three Colors: Blue (1993),"['Juliette Binoche', 'Benoît Régent', 'Florence Pernel']"
61,Three Colors: White (1994),"['Zbigniew Zamachowski', 'Julie Delpy', 'Janusz Gajos']"
62,Stargate (1994),"['Kurt Russell', 'James Spader', 'Jaye Davidson']"
63,The Santa Clause (1994),"['Tim Allen', 'Judge Reinhold', 'Wendy Crewson']"
64,The Shawshank Redemption (1994),"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']"
65,What's Eating Gilbert Grape (1993),"['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis']"
66,While You Were Sleeping (1995),"['Sandra Bullock', 'Bill Pullman', 'Peter Gallagher']"
67,Ace Ventura: Pet Detective (1994),"['Jim Carrey', 'Courteney Cox', 'Sean Young']"
68,The Crow (1994),"['Brandon Lee', 'Rochelle Davis', 'Ernie Hudson']"
69,Forrest Gump (1994),"['Tom Hanks', 'Rebecca Williams', 'Sally Field']"
70,Four Weddings and a Funeral (1994),"['Hugh Grant', 'James Fleet', 'Simon Callow']"
71,The Lion King (1994),Unknow
72,The Mask (1994),"['Jim Carrey', 'Peter Riegert', 'Peter Greene']"
73,Maverick (1994),"['Mel Gibson', 'Jodie Foster', 'James Garner']"
74,Faster Pussycat! Kill! Kill! (1965),"['Tura Satana', 'Haji', 'Lori Williams']"
75,Brother Minister: The Assassination of Malcolm X (1994),"['A. Peter Bailey', 'Roscoe Lee Browne', 'John Henrik Clarke']"
76,Carlito's Way (1993),"['Al Pacino', 'Sean Penn', 'Penelope Ann Miller']"
77,The Firm (1993),"['Tom Cruise', 'Jeanne Tripplehorn', 'Gene Hackman']"
78,Free Willy (1993),"['Jason James Richter', 'Lori Petty', 'Jayne Atkinson']"
79,The Fugitive (1993),"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward']"
80,Hot Shots! Part Deux (1993),"['Charlie Sheen', 'Lloyd Bridges', 'Valeria Golino']"
81,The Hudsucker Proxy (1994),"['Tim Robbins', 'Jennifer Jason Leigh', 'Paul Newman']"
82,Jurassic Park (1993),"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']"
83,Much Ado About Nothing (1993),"['Richard Briers', 'Kate Beckinsale', 'Imelda Staunton']"
84,Robert A. Heinlein's The Puppet Masters (1994),"['Donald Sutherland', 'Eric Thal', 'Julie Warner']"
85,The Ref (1994),"['Denis Leary', 'Judy Davis', 'Kevin Spacey']"
86,The Remains of the Day (1993),"['John Haycraft', 'Christopher Reeve', 'Anthony Hopkins']"
87,Searching for Bobby Fischer (1993),"['Max Pomeranc', 'Joe Mantegna', 'Joan Allen']"
88,Sleepless in Seattle (1993),"['Tom Hanks', 'Ross Malinger', 'Rita Wilson']"
89,Blade Runner (1982),"['Harrison Ford', 'Sean Young', 'Rutger Hauer']"
90,So I Married an Axe Murderer (1993),"['Mike Myers', 'Nancy Travis', 'Anthony LaPaglia']"
91,The Nightmare Before Christmas (1993),"['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara""]"
92,True Romance (1993),"['Christian Slater', 'Patricia Arquette', 'Dennis Hopper']"
93,Welcome to the Dollhouse (1995),"['Heather Matarazzo', 'Victoria Davis', 'Christina Brucato']"
94,Home Alone (1990),"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']"
95,Aladdin (1992),"['Scott Weinger', 'Robin Williams', 'Linda Larkin']"
96,Terminator 2: Judgment Day (1991),"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']"
97,Dances with Wolves (1990),"['Kevin Costner', 'Mary McDonnell', 'Graham Greene']"
98,The Silence of the Lambs (1991),"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']"
99,Snow White and the Seven Dwarfs (1937),"['Roy Atwell', 'Stuart Buchanan', 'Adriana Caselotti']"
100,Fargo (1996),"['William H. Macy', 'Steve Buscemi', 'Peter Stormare']"
101,Heavy Metal (1981),"['Don Francks', 'Caroline Semple', 'Richard Romanus']"
102,The Aristocats (1970),"['Phil Harris', 'Eva Gabor', 'Sterling Holloway']"
103,All Dogs Go to Heaven 2 (1996),"['Ernest Borgnine', 'Bebe Neuwirth', 'Charlie Sheen']"
104,Theodore Rex (1995),"['Whoopi Goldberg', 'Armin Mueller-Stahl', 'Juliet Landau']"
105,Sgt. Bilko (1996),"['Steve Martin', 'Dan Aykroyd', 'Phil Hartman']"
106,Diabolique (1996),"['Sharon Stone', 'Isabelle Adjani', 'Chazz Palminteri']"
107,Moll Flanders (1996),"['Robin Wright', 'Morgan Freeman', 'Stockard Channing']"
108,Kids in the Hall: Brain Candy (1996),"['David Foley', 'Bruce McCulloch', 'Kevin McDonald']"
109,Mystery Science Theater 3000: The Movie (1996),"['Trace Beaulieu', 'Michael J. Nelson', 'Jim Mallon']"
110,Operation Dumbo Drop (1995),"['Danny Glover', 'Ray Liotta', 'Denis Leary']"
111,The Truth About Cats & Dogs (1996),"['Uma Thurman', 'Janeane Garofalo', 'Ben Chaplin']"
112,Flipper (1996),"['Elijah Wood', 'Paul Hogan', 'Jonathan Banks']"
113,The Horseman on the Roof toit,"['Topol', 'Norma Crane', 'Leonard Frey']"
114,Wallace & Gromit: The Best of Aardman Animation (1996),"['Roger Ebert', 'Gene Siskel']"
115,The Haunted World of Edward D. Wood Jr. (1995),"['Maila Nurmi', 'Dolores Fuller', 'Paul Marco']"
116,Cold Comfort Farm (1995),"['Eileen Atkins', 'Kate Beckinsale', 'Sheila Burrell']"
117,The Rock (1996),"['Sean Connery', 'Nicolas Cage', 'Ed Harris']"
118,Twister (1996),"['Helen Hunt', 'Bill Paxton', 'Cary Elwes']"
119,Maya Lin: A Strong Clear Vision (1994),Unknow
120,Striptease (1996),"['Demi Moore', 'Burt Reynolds', 'Armand Assante']"
121,Independence Day (ID4) (1996),Unknow
122,The Cable Guy (1996),"['Jim Carrey', 'Matthew Broderick', 'Leslie Mann']"
123,The Frighteners (1996),"['Michael J. Fox', 'Trini Alvarado', 'Peter Dobson']"
124,Lone Star (1996),"['Stephen Mendillo', 'Stephen J. Lang', 'Chris Cooper']"
125,Phenomenon (1996),"['John Travolta', 'Kyra Sedgwick', 'Forest Whitaker']"
126,The Spitfire Grill (1996),"['Alison Elliott', 'Ellen Burstyn', 'Marcia Gay Harden']"
127,The Godfather (1972),"['Marlon Brando', 'Al Pacino', 'James Caan']"
128,Supercop (1992),"['Jackie Chan', 'Michelle Yeoh', 'Maggie Cheung']"
129,Bound (1996),"['Jennifer Tilly', 'Gina Gershon', 'Joe Pantoliano']"
130,Kansas City (1996),"['Jennifer Jason Leigh', 'Miranda Richardson', 'Harry Belafonte']"
131,Breakfast at Tiffany's (1961),"['Audrey Hepburn', 'George Peppard', 'Patricia Neal']"
132,The Wizard of Oz (1939),"['Judy Garland', 'Frank Morgan', 'Ray Bolger']"
133,Gone with the Wind (1939),"['Thomas Mitchell', ""Barbara O'Neil"", 'Vivien Leigh']"
134,Citizen Kane (1941),"['Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']"
135,2001: A Space Odyssey (1968),"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']"
136,Mr. Smith Goes to Washington (1939),"['Jean Arthur', 'James Stewart', 'Claude Rains']"
137,Big Night (1996),"['Marc Anthony', 'Tony Shalhoub', 'Stanley Tucci']"
138,D3: The Mighty Ducks (1996),"['Emilio Estevez', 'Jeffrey Nordling', 'David Selby']"
139,The Love Bug (1969),"['Dean Jones', 'Michele Lee', 'David Tomlinson']"
140,Homeward Bound: The Incredible Journey (1993),"['Don Alder', 'Ed Bernard', 'Kevin Chevalia']"
141,Leagues 20 (1954),"['Kirk Douglas', 'James Mason', 'Paul Lukas']"
142,Bedknobs and Broomsticks (1971),"['Angela Lansbury', 'David Tomlinson', 'Roddy McDowall']"
143,The Sound of Music (1965),"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']"
144,Die Hard (1988),"['Bruce Willis', 'Bonnie Bedelia', 'Reginald VelJohnson']"
145,The Lawnmower Man (1992),"['Jeff Fahey', 'Pierce Brosnan', 'Jenny Wright']"
146,Unhook the Stars (1996),"['Gena Rowlands', 'Marisa Tomei', 'Gérard Depardieu']"
147,The Long Kiss Goodnight (1996),"['Geena Davis', 'Samuel L. Jackson', 'Yvonne Zima']"
148,The Ghost and the Darkness (1996),"['Michael Douglas', 'Val Kilmer', 'Tom Wilkinson']"
149,Jude (1996),"['Christopher Eccleston', 'Kate Winslet', 'Liam Cunningham']"
150,Swingers (1996),"['Jon Favreau', 'Vince Vaughn', 'Ron Livingston']"
151,Willy Wonka and the Chocolate Factory (1971),"['Gene Wilder', 'Jack Albertson', 'Peter Ostrum']"
152,Sleeper (1973),"['Woody Allen', 'Diane Keaton', 'John Beck']"
153,A Fish Called Wanda (1988),"['John Cleese', 'Jamie Lee Curtis', 'Kevin Kline']"
154,Monty Python's Life of Brian (1979),Unknow
155,Dirty Dancing (1987),"['Jennifer Grey', 'Patrick Swayze', 'Jerry Orbach']"
156,Reservoir Dogs (1992),"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']"
157,Platoon (1986),"['Keith David', 'Forest Whitaker', 'Francesco Quinn']"
158,Weekend at Bernie's (1989),"['Andrew McCarthy', 'Jonathan Silverman', 'Catherine Mary Stewart']"
159,Basic Instinct (1992),"['Michael Douglas', 'Sharon Stone', 'George Dzundza']"
160,Glengarry Glen Ross (1992),"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin']"
161,Top Gun (1986),"['Tom Cruise', 'Kelly McGillis', 'Val Kilmer']"
162,On Golden Pond (1981),"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda']"
163,The Return of the Pink Panther (1974),"['Peter Sellers', 'Christopher Plummer', 'Catherine Schell']"
164,The Abyss (1989),"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn']"
165,Jean de Florette (1986),"['Yves Montand', 'Gérard Depardieu', 'Daniel Auteuil']"
166,Manon of the Spring (Manon des sources) (1986),"['Yves Montand', 'Daniel Auteuil', 'Emmanuelle Béart']"
167,Private Benjamin (1980),"['Goldie Hawn', 'Eileen Brennan', 'Armand Assante']"
168,Monty Python and the Holy Grail (1974),"['Graham Chapman', 'John Cleese', 'Carol Cleveland']"
169,The Wrong Trousers (1993),"['Peter Sallis', 'Peter Hawkins']"
170,Cinema Paradiso (1988),"['Antonella Attili', 'Enzo Cannavale', 'Isa Danieli']"
171,Delicatessen (1991),"['Pascal Benezech', 'Dominique Pinon', 'Marie-Laure Dougnac']"
172,The Empire Strikes Back (1980),"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
173,The Princess Bride (1987),"['Cary Elwes', 'Mandy Patinkin', 'Chris Sarandon']"
174,Raiders of the Lost Ark (1981),"['Harrison Ford', 'Karen Allen', 'Paul Freeman']"
175,Brazil (1985),"['Jonathan Pryce', 'Robert De Niro', 'Katherine Helmond']"
176,Aliens (1986),"['Sigourney Weaver', 'Carrie Henn', 'Michael Biehn']"
177,The Good Ugly,"['Eli Wallach', 'Clint Eastwood', 'Lee Van Cleef']"
178,12 Angry Men (1957),"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb']"
179,A Clockwork Orange (1971),"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']"
180,Apocalypse Now (1979),['Unknow']
181,Return of the Jedi (1983),"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
182,GoodFellas (1990),"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']"
183,Alien (1979),"['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright']"
184,Army of Darkness (1993),Unknow
185,Psycho (1960),"['Anthony Perkins', 'Vera Miles', 'John Gavin']"
186,The Blues Brothers (1980),"['Tom Erhart', 'Gerald Walling', 'John Belushi']"
187,The Godfather: Part II (1974),"['Al Pacino', 'Robert Duvall', 'Diane Keaton']"
188,Full Metal Jacket (1987),"['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio""]"
189,A Grand Day Out (1992),"['Peter Sallis', 'Peter Hawkins']"
190,Henry V (1989),"['Derek Jacobi', 'Kenneth Branagh', 'Simon Shepherd']"
191,Amadeus (1984),"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']"
192,Raging Bull (1980),"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']"
193,The Right Stuff (1983),"['Lynn Dickey', 'John Facenda', 'Keith Gary']"
194,The Sting (1973),"['Paul Newman', 'Robert Redford', 'Robert Shaw']"
195,The Terminator (1984),"['Arnold Schwarzenegger', 'Michael Biehn', 'Linda Hamilton']"
196,Dead Poets Society (1989),"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']"
197,The Graduate (1967),"['Anne Bancroft', 'Dustin Hoffman', 'Katharine Ross']"
198,Nikita (La Femme Nikita) (1990),"['Anne Parillaud', 'Marc Duret', 'Patrick Fontana']"
199,The Bridge on the River Kwai (1957),"['William Holden', 'Alec Guinness', 'Jack Hawkins']"
200,The Shining (1980),"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']"
201,Evil Dead II (1987),"['Bruce Campbell', 'Sarah Berry', 'Dan Hicks']"
202,Groundhog Day (1993),['Unknow']
203,Unforgiven (1992),"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']"
204,Back to the Future (1985),"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
205,Patton (1970),"['George C. Scott', 'Karl Malden', 'Stephen Young']"
206,Akira (1988),"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama']"
207,Cyrano de Bergerac (1990),"['Gérard Depardieu', 'Anne Brochet', 'Vincent Perez']"
208,Young Frankenstein (1974),"['Gene Wilder', 'Peter Boyle', 'Marty Feldman']"
209,This Is Spinal Tap (1984),"['Rob Reiner', 'Kimberly Stringer', 'Chazz Dominguez']"
210,Indiana Jones and the Last Crusade (1989),"['Harrison Ford', 'Sean Connery', 'Denholm Elliott']"
211,M*A*S*H (1970),"['Donald Sutherland', 'Elliott Gould', 'Tom Skerritt']"
212,The Unbearable Lightness of Being (1988),"['Daniel Day-Lewis', 'Juliette Binoche', 'Lena Olin']"
213,A Room with a View (1986),"['Maggie Smith', 'Helena Bonham Carter', 'Denholm Elliott']"
214,Pink Floyd - The Wall (1982),"['Bob Geldof', 'Christine Hargreaves', 'James Laurenson']"
215,Field of Dreams (1989),"['Kevin Costner', 'Amy Madigan', 'Gaby Hoffmann']"
216,When Harry Met Sally... (1989),"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher']"
217,Bram Stoker's Dracula (1992),"['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins']"
218,Cape Fear (1991),"['Robert De Niro', 'Nick Nolte', 'Jessica Lange']"
219,A Nightmare on Elm Street (1984),"['John Saxon', 'Ronee Blakley', 'Heather Langenkamp']"
220,The Mirror Has Two Faces (1996),"['Barbra Streisand', 'Jeff Bridges', 'Lauren Bacall']"
221,Breaking the Waves (1996),"['Emily Watson', 'Stellan Skarsgård', 'Katrin Cartlidge']"
222,Star Trek: First Contact (1996),"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']"
223,Sling Blade (1996),"['Billy Bob Thornton', 'Dwight Yoakam', 'J.T. Walsh']"
224,Ridicule (1996),"['Charles Berling', 'Jean Rochefort', 'Fanny Ardant']"
225,101 Dalmatians (1996),"['Glenn Close', 'Jeff Daniels', 'Joely Richardson']"
226,Die Hard 2 (1990),"['Bruce Willis', 'Bonnie Bedelia', 'William Atherton']"
227,Star Trek VI: The Undiscovered Country (1991),"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']"
228,Star Trek: The Wrath of Khan (1982),"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']"
229,Star Trek III: The Search for Spock (1984),"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']"
230,Star Trek IV: The Voyage Home (1986),"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']"
231,Batman Returns (1992),"['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer']"
232,Young Guns (1988),"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips']"
233,Under Siege (1992),"['Steven Seagal', 'Damian Chapa', 'Troy Evans']"
234,Jaws (1975),"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']"
235,Mars Attacks! (1996),"['Jack Nicholson', 'Glenn Close', 'Annette Bening']"
236,Citizen Ruth (1996),"['Laura Dern', 'Swoosie Kurtz', 'Kurtwood Smith']"
237,Jerry Maguire (1996),"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']"
238,Raising Arizona (1987),"['Nicolas Cage', 'Holly Hunter', 'Trey Wilson']"
239,Sneakers (1992),"['Jo Marr', 'Gary Hershberger', 'Robert Redford']"
240,Beavis and Butt-head Do America (1996),"['Mike Judge', 'Bruce Willis', 'Demi Moore']"
241,The Last of the Mohicans (1992),"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means']"
242,Kolya (1996),"['Zdenek Sverák', 'Andrey Khalimon', 'Libuse Safránková']"
243,Jungle2Jungle (1997),"['Tim Allen', 'Martin Short', 'JoBeth Williams']"
244,Smilla's Sense of Snow (1997),"['Jens Jørgen Fleischer', 'Julia Ormond', 'Agga Olsen']"
245,The Devil's Own (1997),"['Harrison Ford', 'Brad Pitt', 'Margaret Colin']"
246,Chasing Amy (1997),"['Ethan Suplee', 'Ben Affleck', 'Scott Mosier']"
247,Turbo: A Power Rangers Movie (1997),"['Jon Simanton', 'Kai Doi', 'Greg Collins']"
248,Grosse Pointe Blank (1997),"['John Cusack', 'Minnie Driver', 'Alan Arkin']"
249,Austin Powers: International Man of Mystery (1997),"['Mike Myers', 'Elizabeth Hurley', 'Michael York']"
250,The Fifth Element (1997),"['Bruce Willis', 'Gary Oldman', 'Ian Holm']"
251,Shall We Dance? (1996),"['Koji Yakusho', 'Tamiyo Kusakari', 'Naoto Takenaka']"
252,The Lost World: Jurassic Park (1997),"['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite']"
253,The Pillow Book (1995),"['Vivian Wu', 'Yoshi Oida', 'Ken Ogata']"
254,Batman & Robin (1997),"['Andrew Adamson', 'Harold Becker', 'Eric Durst']"
255,My Best Friend's Wedding (1997),"['Julia Roberts', 'Dermot Mulroney', 'Cameron Diaz']"
256,When the Cats Away (Chacun cherche son chat) (1996),['Unknow']
257,Men in Black (1997),"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino']"
258,Contact (1997),"['Jena Malone', 'David Morse', 'Jodie Foster']"
259,George of the Jungle (1997),"['Brendan Fraser', 'Leslie Mann', 'Thomas Haden Church']"
260,Event Horizon (1997),"['Laurence Fishburne', 'Sam Neill', 'Kathleen Quinlan']"
261,Air Bud (1997),"['Michael Jeter', 'Kevin Zegers', 'Wendy Makkena']"
262,In the Company of Men (1997),"['Aaron Eckhart', 'Stacy Edwards', 'Matt Malloy']"
263,Steel (1997),"[""Shaquille O'Neal"", 'Annabeth Gish', 'Judd Nelson']"
264,Mimic (1997),"['Mira Sorvino', 'Jeremy Northam', 'Alexander Goodwin']"
265,The Hunt for Red October (1990),"['Sean Connery', 'Alec Baldwin', 'Scott Glenn']"
266,Kull the Conqueror (1997),"['Kevin Sorbo', 'Tia Carrere', 'Thomas Ian Griffith']"
267,unknown,['Unknow']
268,Chasing Amy (1997),"['Ethan Suplee', 'Ben Affleck', 'Scott Mosier']"
269,The Full Monty (1997),"['Robert Carlyle', 'Mark Addy', 'Wim Snape']"
270,Gattaca (1997),"['Ethan Hawke', 'Uma Thurman', 'Gore Vidal']"
271,Starship Troopers (1997),"['Casper Van Dien', 'Dina Meyer', 'Denise Richards']"
272,Good Will Hunting (1997),"['Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']"
273,Heat (1995),"['Al Pacino', 'Robert De Niro', 'Val Kilmer']"
274,Sabrina (1995),"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']"
275,Sense and Sensibility (1995),"['James Fleet', 'Tom Wilkinson', 'Harriet Walter']"
276,Leaving Las Vegas (1995),"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']"
277,Restoration (1995),"['Robert Downey Jr.', 'Sam Neill', 'David Thewlis']"
278,Bed of Roses (1996),"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']"
279,Once Upon a Time... When We Were Colored (1995),"['Al Freeman Jr.', 'Phylicia Rashad', 'Leon']"
280,Up Close and Personal (1996),"['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing']"
281,The River Wild (1994),"['Meryl Streep', 'Joseph Mazzello', 'Stephanie Sawyer']"
282,A Time to Kill (1996),"['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']"
283,Emma (1996),"['Gwyneth Paltrow', 'James Cosmo', 'Greta Scacchi']"
284,Tin Cup (1996),"['Kevin Costner', 'Rene Russo', 'Don Johnson']"
285,Secrets & Lies (1996),"['Timothy Spall', 'Phyllis Logan', 'Brenda Blethyn']"
286,The English Patient (1996),"['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe']"
287,Marvin's Room (1996),"['Meryl Streep', 'Leonardo DiCaprio', 'Diane Keaton']"
288,Scream (1996),"['Drew Barrymore', 'Roger Jackson', 'Kevin Patrick Walls']"
289,Evita (1996),"['Madonna', 'Antonio Banderas', 'Jonathan Pryce']"
290,Fierce Creatures (1997),"['John Cleese', 'Jamie Lee Curtis', 'Kevin Kline']"
291,Absolute Power (1997),['Unknow']
292,Rosewood (1997),"['Jon Voight', 'Ving Rhames', 'Don Cheadle']"
293,Donnie Brasco (1997),"['Al Pacino', 'Johnny Depp', 'Michael Madsen']"
294,Liar Liar (1997),"['Jim Carrey', 'Maura Tierney', 'Justin Cooper']"
295,Breakdown (1997),"['Kurt Russell', 'J.T. Walsh', 'Kathleen Quinlan']"
296,La Promesse (1996),"['Jérémie Renier', 'Olivier Gourmet', 'Assita Ouedraogo']"
297,Ulee's Gold (1997),"['Peter Fonda', 'Patricia Richardson', 'Christine Dunford']"
298,Face/Off (1997),"['John Travolta', 'Nicolas Cage', 'Joan Allen']"
299,Hoodlum (1997),"['Laurence Fishburne', 'Tim Roth', 'Vanessa Williams']"
300,Air Force One (1997),"['Harrison Ford', 'Gary Oldman', 'Glenn Close']"
